INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
20029,029,5,1,5,0.2337935976593452,0.5,0.7662064023406548,1,1,16
10066,P66,11,5,19,0.2184995984985692,0.36666666666666653,0.5463043980493616,1,2,30
20004,04,4,1,10,0.1182411033668808,0.2857142857142857,0.5510032410369711,1,3,170
20019,019,8,4,24,0.1329963887108149,0.25,0.4225893177117019,1,4,167
31241,1241,8,3,25,0.1288173915835082,0.24242424242424246,0.4117078419071667,1,5,182
20038,038,8,1,27,0.12120329412383522,0.22857142857142854,0.3915176491573813,1,6,227
10075,P75,7,3,24,0.11461600510258818,0.2258064516129032,0.3997282637121076,1,7,297
31071,1071,7,3,26,0.1074618157750081,0.21212121212121213,0.37897774853968336,1,8,435
20003,03,7,3,26,0.1074618157750081,0.21212121212121213,0.37897774853968336,1,9,435
20005,05,5,1,19,0.09356443933174287,0.20833333333333331,0.4070374322786772,1,10,443
20001,01,7,2,27,0.10421043194781518,0.2058823529411765,0.3693788445224453,1,11,439
20032,032,3,4,12,0.0726620382528822,0.2,0.4564565462316117,1,12,638
20022,022,5,1,21,0.08621693994756675,0.19230769230769232,0.3808298790939945,1,13,477
32790,2790,5,1,23,0.07994184887608012,0.17857142857142858,0.357747554414644,1,14,640
30213,213,6,2,28,0.08440601616056452,0.17647058823529413,0.33649830001819714,2,15,534
30821,821,6,1,29,0.08194363976520891,0.17142857142857146,0.328115932042918,2,16,1131
20044,044,6,0,30,0.07962112085287684,0.16666666666666666,0.32013707586767115,2,17,1131
30397,397,5,3,28,0.06764065268275712,0.15151515151515152,0.31056573039512536,2,18,1144
30013,13,5,2,29,0.0656218011562507,0.14705882352941174,0.3025713516909515,3,19,1144
20141,0141,5,2,29,0.0656218011562507,0.14705882352941174,0.3025713516909515,3,20,1144
30001,1,5,2,29,0.0656218011562507,0.14705882352941174,0.3025713516909515,3,21,1144
30033,33,5,2,29,0.0656218011562507,0.14705882352941174,0.3025713516909515,3,22,1144
30597,597,5,2,29,0.0656218011562507,0.14705882352941174,0.3025713516909515,3,23,1144
30565,565,5,2,29,0.0656218011562507,0.14705882352941174,0.3025713516909515,3,24,1144
31357,1357,5,0,31,0.061925721333396334,0.1388888888888889,0.2877477973105722,3,25,1149
31253,1253,4,1,26,0.054524326215083525,0.13333333333333333,0.2983358290077972,3,26,1157
30067,67,3,0,20,0.04735362660725713,0.13043478260869565,0.3236113581888329,2,27,1183
30869,869,2,0,14,0.03798506807062597,0.125,0.3644091621012503,2,28,1700
32718,2718,4,0,28,0.051088699356081235,0.125,0.2820162285372203,3,29,1173
32561,2561,4,3,29,0.04952845525617737,0.12121212121212123,0.2745034871423555,3,30,1183
31571,1571,4,3,29,0.04952845525617737,0.12121212121212123,0.2745034871423555,3,31,1183
30069,69,4,3,29,0.04952845525617737,0.12121212121212123,0.2745034871423555,3,32,1183
30205,205,4,2,30,0.048060778403638905,0.1176470588235294,0.2673780437192451,3,33,1210
30209,209,4,2,30,0.048060778403638905,0.1176470588235294,0.2673780437192451,3,34,1210
31582,1582,4,2,30,0.048060778403638905,0.1176470588235294,0.2673780437192451,3,35,1210
31009,1009,4,2,30,0.048060778403638905,0.1176470588235294,0.2673780437192451,3,36,1210
30828,828,4,2,30,0.048060778403638905,0.1176470588235294,0.2673780437192451,3,37,1210
30749,749,2,0,15,0.03578508312157468,0.1176470588235294,0.34712043860867203,2,38,1700
30346,346,2,0,15,0.03578508312157468,0.1176470588235294,0.34712043860867203,2,39,1700
20033,033,2,2,15,0.03578508312157468,0.1176470588235294,0.34712043860867203,2,40,1700
32680,2680,4,2,30,0.048060778403638905,0.1176470588235294,0.2673780437192451,3,41,1210
30826,826,4,1,31,0.04667766060309028,0.11428571428571427,0.26061092051082924,3,42,1700
31517,1517,4,1,31,0.04667766060309028,0.11428571428571427,0.26061092051082924,3,43,1700
30022,22,4,1,31,0.04667766060309028,0.11428571428571427,0.26061092051082924,3,44,1700
30799,799,4,1,31,0.04667766060309028,0.11428571428571427,0.26061092051082924,3,45,1700
30579,579,4,0,32,0.04537199234199395,0.1111111111111111,0.2541759360774789,3,46,1700
