INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
20003,03,11,2,1,0.6397025647321226,0.9166666666666666,0.9807933280174717,1,1,3
20001,01,10,2,2,0.5455289443234423,0.8333333333333334,0.9496189265088484,1,2,5
20038,038,9,3,2,0.5158622513140328,0.8181818181818182,0.9451393554720072,1,3,6
30892,892,6,2,6,0.2513454822703036,0.5,0.7486545177296964,2,4,90
20019,019,6,2,6,0.2513454822703036,0.5,0.7486545177296964,2,5,90
20005,05,5,2,7,0.192232441801288,0.4166666666666667,0.6842223970859369,3,6,142
30033,33,5,1,8,0.17661108998211786,0.38461538461538464,0.6486198893840085,4,7,462
30001,1,4,3,7,0.15165222980843018,0.3636363636363637,0.651124493581186,4,8,462
32680,2680,5,0,9,0.1633643238595134,0.35714285714285715,0.6161962674588459,4,9,462
30788,788,5,0,9,0.1633643238595134,0.35714285714285715,0.6161962674588459,4,10,462
30013,13,4,0,8,0.1385793388901606,0.3333333333333333,0.6142616617507053,4,11,474
30700,700,4,1,9,0.12759842985915934,0.3076923076923077,0.5810352571836614,4,12,495
31604,1604,4,1,9,0.12759842985915934,0.3076923076923077,0.5810352571836614,4,13,495
31295,1295,4,0,9,0.12759842985915934,0.3076923076923077,0.5810352571836614,4,14,495
31582,1582,3,2,7,0.10926344381909812,0.3,0.6097425595724212,4,15,651
30543,543,4,0,10,0.1182411033668808,0.2857142857142857,0.5510032410369711,4,16,651
30826,826,4,0,10,0.1182411033668808,0.2857142857142857,0.5510032410369711,4,17,651
30828,828,4,0,10,0.1182411033668808,0.2857142857142857,0.5510032410369711,4,18,651
30022,22,3,1,10,0.08388931830712755,0.2307692307692308,0.5079756770484718,4,19,1607
32766,2766,3,0,11,0.07787154629104362,0.21428571428571427,0.4808911338068531,4,20,1607
31057,1057,3,0,11,0.07787154629104362,0.21428571428571427,0.4808911338068531,4,21,1607
30579,579,3,0,11,0.07787154629104362,0.21428571428571427,0.4808911338068531,4,22,1607
30233,233,3,0,11,0.07787154629104362,0.21428571428571427,0.4808911338068531,4,23,1607
30295,295,3,0,11,0.07787154629104362,0.21428571428571427,0.4808911338068531,4,24,1607
31414,1414,2,0,8,0.06021773417290666,0.2,0.5177558523601726,4,25,1607
20004,04,2,0,9,0.05486064452799275,0.18181818181818185,0.4841377486859672,4,26,1607
30079,79,2,2,9,0.05486064452799275,0.18181818181818185,0.4841377486859672,4,27,1607
32737,2737,2,2,10,0.050381073491151535,0.16666666666666666,0.4544710556765577,4,28,1607
32747,2747,2,0,10,0.050381073491151535,0.16666666666666666,0.4544710556765577,4,29,1607
31403,1403,2,2,10,0.050381073491151535,0.16666666666666666,0.4544710556765577,4,30,1607
30372,372,2,2,10,0.050381073491151535,0.16666666666666666,0.4544710556765577,4,31,1607
30273,273,2,1,11,0.046579287889867295,0.15384615384615385,0.4281291609096989,4,32,1607
30124,124,2,1,11,0.046579287889867295,0.15384615384615385,0.4281291609096989,4,33,1607
31210,1210,2,1,11,0.046579287889867295,0.15384615384615385,0.4281291609096989,4,34,1607
30517,517,2,1,11,0.046579287889867295,0.15384615384615385,0.4281291609096989,4,35,1607
32676,2676,2,0,11,0.046579287889867295,0.15384615384615385,0.4281291609096989,4,36,1607
31424,1424,2,1,11,0.046579287889867295,0.15384615384615385,0.4281291609096989,4,37,1607
