Teststellen	Arabic Family B	Potential Agreement Readings
33	لكم	1
34	من بنيها	1,1B,1C,1D
35	لتنزلن حتا اسفل [الجحيم]	1,1B,1C,1D,1E,1F,2,4
36	[نظروا]	1/2
37	جمع كثير	1/2,1/2B,3,6
38	يتكلمون بها	1,1B,1C,1D,1E,1F,1G,2,2B,3,4,5,6,7
39	من البيت	1,1B,3
40	[بالسر القديم]	3
41	فباع كل شى كان له	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,2,2B,2C,3,3B
42	انسان	1/2,1/2B,1/2C
43	[لان هروذس/هروذيس امسك يحنا]	1/2
44	فحزن الملك فمنجل	1,1B,1C,1D,1E,1F,2,3
45	قربوهن الى هاهنا	1,1B,1C,1D,1E,2
46	فلما راوه	5,6
47	وصيه الله	1,1B,1C
48	ثم انه امر الجماعه ان يتكون على الارض ثم اخذ	1,1B,1C,1D,1E,1F,1G,1H,1I,1L,1M,1N,1O,1P,1Q,1R,1S,1T,1U,1Y,2,2B,2C,2D,3,3B,3C,3D,3E,4,4B
49	معكم	2
50	خميره الخبز	1,1B,2,2B
51	[وهو] بشر	3
52	لقله ايمانكم	1,1B,1E,2
53	[Omitted]	2
54	[Omitted]	2
55	لماذا تسل عن الصالح واحد هو الصالح	2E,2F
56	كثيرين هم المدعيين/مدعيين وقليلين/وقليل هم المنتجبين	1,1B,1C,1D,1E,1F,1G,1H,1I,1K
57	[الهيكل]	2
58	وافعلوه فاحفظوه	2,3,3B,3C,3D
59	فان هذا يكون	2,3,3B
60	ولا الابن	2,2B
61	[اليوم والساعه]	2
62	فى الهيكل	1,1B,2
63	اخر اخذ حربه فطعن جنبه فخرج دم وما	3C
64	فاذا	2,2B
